ID,latitude,country,type,longitude,label
132,51.45,Germany,Colt connected City,7.01667,Essen
133,41.38879,Spain,Data Centre and MAN,2.15899,Barcelona
134,45.07049,Italy,Data Centre and MAN,7.68682,Turin
135,48.85341,France,Data Centre and MAN,2.3488,Paris
136,51.50853,United Kingdom,Data Centre and MAN,-0.12574,London
137,50.11667,Germany,Data Centre and MAN,8.68333,Frankfurt
138,50.85045,Belgium,Data Centre and MAN,4.34878,Brussels
139,52.37403,Netherlands,Data Centre and MAN,4.88969,Amsterdam
140,52.52437,Germany,Data Centre and MAN,13.41053,Berlin
141,47.31667,France,Colt connected City,5.01667,Dijon
142,47.38333,France,Colt connected City,0.68333,Tours
143,46.58333,France,Colt connected City,0.33333,Poitiers
144,48.08333,France,Colt connected City,-1.68333,Rennes
145,49.44313,France,Colt connected City,1.09932,Rouen
146,51.45,United Kingdom,Colt connected City,-2.58333,Bristol
147,40.4165,Spain,Data Centre and MAN,-3.70256,Madrid
148,45.46427,Italy,Data Centre and MAN,9.18951,Milan
