first,second,reliability,bandwidth
99,148,0.8211857722059647,2218.4958664566648
101,102,0.5136198547278834,1417.7955758157464
101,104,0.560837514643354,2518.022078761133
102,148,0.32769589980752634,2916.6950440569626
103,107,0.3006348637306623,1156.84910534644
105,108,0.31726682320417465,1470.0075196173138
105,148,0.5769473310513398,261.8280666080833
106,148,0.11890330100182622,22.592317910074662
107,108,0.21241154075743496,1363.5991399824147
109,148,0.8375840626705348,1656.9613438972078
110,148,0.6223761635723815,851.1816227092907
111,135,0.2533508647116395,1600.5976698825464
112,138,0.18104555301572944,1107.2132031157782
113,114,0.9054759683800405,524.7832287789539
114,135,0.2668788553515128,1395.4260629571907
117,144,0.42832692390893434,461.31574306208364
119,141,0.3136283160767347,2348.1082489564496
119,135,0.3636381349962662,1007.6627264371942
119,120,0.3746084958477076,1649.1864068709567
125,127,0.5537751147066035,118.71556353841436
126,139,0.6317377018580478,1975.2515331531704
127,139,0.6505935729837146,1669.975615257035
128,139,0.9039742833721574,705.0262172822734
130,131,0.07104840270610524,273.75916856010485
131,132,0.5350712893303364,1048.9388140233025
134,148,0.7476024819076382,1158.833826376714
135,142,0.9502618068702066,2343.6124284238304
135,145,0.16832034790800432,480.5649959322936
136,138,0.776219785226204,1550.0792859309154
142,143,0.4569485359293045,482.5112495936105
144,145,0.966828377079805,2985.407539486743
